Sample ID,Date_collected,Tissue,Site,Size_class,Length,Total_DW ,Delta15N,PercentN,Delta13C,Delta13C_corrected,PercentC,CN_ratio,ug_N,ug_C,Ampl 28,N Area,Ampl 44,C Area
M2-SEP02-2-7,02-Sep-10,M,2+,67+,76.17,0.877,6.1,5.32,-21.85,-19.89,28.35,5.33,46.7,248.6,1998,29,2271,38
M2-SEP02-2-4,02-Sep-10,M,2+,67+,76.33,0.777,6.93,5.8,-22.07,-20.01,31.51,5.43,45.1,244.8,1933,28,2237,37
M2-AUG24-2-12,24-Aug-10,M,2+,67+,76.4,0.896,6.57,8.62,-21.76,-19.77,46.18,5.36,77.3,413.7,2775,29,3414,45
M2-SEP02-2-1,02-Sep-10,M,2+,67+,76.91,0.916,6.64,7.79,-22.01,-19.8,43.53,5.59,71.3,398.7,3156,45,3586,60
M2-SEP02-2-12,02-Sep-10,M,2+,67+,77.54,0.964,7.02,7.67,-21.21,-19.73,37.16,4.85,73.9,358.3,2813,41,2662,45
M2-SEP02-2-9,02-Sep-10,M,2+,67+,78.96,0.828,6.9,7.31,-22.11,-19.84,41.29,5.65,60.5,341.9,2633,38,3096,52
M2-SEP02-2-5,02-Sep-10,M,2+,67+,81.43,1.842,7.21,3.95,-21.12,-19.79,18.54,4.69,72.8,341.6,3187,46,3091,52
M2-SEP02-2-11,02-Sep-10,M,2+,67+,82.51,0.918,7.01,7.53,-21.51,-19.95,37.15,4.93,69.2,341,2616,38,2527,43
A-AUG24-2A,24-Aug-10,A,2+,A,NA,0.084,7.06,6.78,-21.2,-20.01,30.87,4.6,5.7,25.9,1164,14,3733,58
A-AUG24-2B,24-Aug-10,A,2+,A,NA,0.113,7.4,3.79,-21.97,-20.29,19.13,5,4.3,21.6,890,11,3209,49
A-AUG25-2B,25-Aug-10,A,2+,A,NA,1.282,7.13,0.59,-21.4,-21.53,1.9,3.23,7.5,24.3,217,2,249,3
A-AUG30-2C,30-Aug-10,A,2+,A,NA,0.083,7.56,9.91,-20.82,-17.12,38.93,7.1,8.2,32.3,1672,20,3795,58
A-AUG30-2D,30-Aug-10,A,2+,A,NA,0.143,7.79,4.58,-21.3,-22.92,18.65,1.7,6.5,26.7,1336,16,25622,402
A-AUG30-2E,30-Aug-10,A,2+,A,NA,0.148,7.72,4.45,-20.98,-22.52,17.79,1.8,6.6,26.3,1341,16,14963,233
A-AUG31-2A,31-Aug-10,A,2+,A,NA,1.075,7.68,0.84,-20.68,-21.3,2.28,2.73,9,24.5,272,3,251,3
A-AUG31-2D,31-Aug-10,A,2+,A,NA,0.159,8.09,6.69,-21.3,-22.04,28.23,2.6,10.6,44.9,2151,26,3793,59
A-AUG31-2E,31-Aug-10,A,2+,A,NA,0.294,7.23,2.76,-21.93,-24.02,13.62,1.2,8.1,40.1,1639,20,5023,78
A-SEP02-2C,02-Sep-10,A,2+,A,NA,0.249,7.56,1.83,-22.8,-20.94,9.59,5.23,4.6,23.9,980,12,3462,53
A-SEP02-2B,02-Sep-10,A,2+,A,NA,0.191,7.48,2.24,-22.02,-20.46,11.02,4.92,4.3,21,919,11,3121,47
N-AUG24-2A,24-Aug-10,N,2+,N,NA,0.557,5.32,3.81,-23.19,-20.86,20.5,5.7,11,62.9,446,5,1071,15
